,city,country,latitude,temp,clouds,windspd,humidity
500,Filandia,CO,4.68,80.6,40,4.7,78
501,Touros,BR,-5.2,84.2,20,12.75,54
502,Boo,SE,59.33,41.0,75,4.7,100
503,San Ignacio,BZ,17.16,87.01,40,4.7,69
504,Sterling,US,39.0,44.01,1,5.82,44
505,Hauterive,CA,49.18,27.0,20,16.11,53
506,Belaya Gora,RU,68.54,-9.33,89,1.61,98
507,Belmonte,BR,-26.84,73.99,35,5.48,99
508,Westport,IE,53.8,42.01,40,12.75,82
509,Victor Harbor,AU,-35.55,59.0,75,14.99,62
510,Fonte Boa,BR,-2.51,87.82,100,1.16,72
511,Harstad,NO,68.8,35.6,75,13.87,92
512,Boa Vista,BR,2.82,95.0,75,11.41,39
513,Reitz,ZA,-27.8,47.86,0,7.0,82
514,Vestmannaeyjar,IS,63.44,40.62,89,17.31,62
515,Havre-Saint-Pierre,CA,50.23,24.8,75,5.82,68
516,Nuevo Progreso,MX,17.14,77.32,11,7.96,78
517,Dolgoye,RU,52.06,36.5,4,11.9,76
518,Bintulu,MY,3.17,78.8,75,2.24,88
519,Gamboma,CG,-1.87,75.7,100,2.57,79
520,Bambanglipuro,ID,-7.95,74.23,100,5.57,91
521,Sarkand,KZ,45.41,33.24,99,2.26,43
